48	64	25	14
49	65	25	14
51	67	25	14
49	66	25	14
52	63	25	14
51	63	25	14
52	63	25	14
53	60	25	14
53	59	25	14
54	58	25	14
54	58	25	14
53	58	25	14
54	56	25	14
56	55	25	14
54	53	25	14
56	52	25	14
54	53	25	14
57	53	25	14
56	54	25	14
57	54	25	14
56	57	25	14
55	56	25	14
54	58	25	14
55	55	25	14
56	55	25	14
54	57	25	14
55	54	25	14
56	57	25	14
55	55	25	14
55	55	25	14
55	54	25	14
56	55	25	14
56	55	25	14
56	54	25	14
57	54	25	14
56	55	25	14
56	54	25	14
57	54	25	14
57	55	25	14
58	55	25	14
56	54	25	14
58	55	25	14
57	58	25	14
58	56	25	14
57	56	25	14
58	56	25	14
58	56	25	14
58	56	25	14
58	56	25	14
57	56	25	14
58	55	25	14
57	54	25	14
57	52	25	14
57	52	25	14
57	52	25	14
57	50	25	14
57	48	25	14
58	48	25	14
56	49	25	14
58	48	25	14
57	47	25	14
59	48	25	14
58	49	25	14
60	48	25	14
60	47	25	14
60	47	25	14
61	47	25	14
61	47	25	14
62	47	25	14
61	48	25	14
62	48	25	14
63	48	25	14
63	49	25	14
63	49	25	14
64	48	25	14
65	48	25	14
63	49	25	14
63	51	25	14
